CASO,TIEMPO,DOCENTE S,DOCENTE E,DOCENTE CODIGO M,Est 1 S,Est 1 E,Est 1 CODIGO M,Est 2 S,Est 2 E,Est 2 CODIGO M,Est 3 S,Est 3 E,Est 3 CODIGO M
Caso 1,1,4,3,4,0,0,0,0,0,0,0,0,0
Caso 1,2,3,3,1,0,0,0,0,0,0,0,0,0
Caso 1,3,4,3,4,0,0,0,0,0,0,0,0,0
Caso 1,4,3,3,3,0,0,0,0,0,0,0,0,0
Caso 1,5,1,2,15,0,0,0,0,0,0,0,0,0
Caso 1,6,3,3,1,0,0,0,0,0,0,0,0,0
Caso 1,7,4,3,4,0,0,0,0,0,0,0,0,0
Caso 1,8,4,2,15,0,0,0,0,0,0,0,0,0
Caso 1,9,1,2,22,0,0,0,0,0,0,0,0,0
Caso 1,10,4,3,1,0,0,0,0,0,0,0,0,0
Caso 2,1,4,3,15,0,0,0,0,0,0,0,0,0
Caso 2,2,4,3,15,0,0,0,0,0,0,0,0,0
Caso 2,3,4,3,15,0,0,0,0,0,0,0,0,0
Caso 2,4,2,3,15,0,0,0,0,0,0,0,0,0
Caso 2,5,4,3,4,0,0,0,0,0,0,0,0,0
Caso 2,6,4,2,1,0,0,0,0,0,0,0,0,0
Caso 2,7,4,3,1,0,0,0,0,0,0,0,0,0
Caso 2,8,4,2,25,0,0,0,0,0,0,0,0,0
Caso 2,9,4,3,1,0,0,0,0,0,0,0,0,0
Caso 2,10,1,2,25,0,0,0,0,0,0,0,0,0
Caso 3,1,3,4,3,0,0,0,0,0,0,0,0,0
Caso 3,2,3,4,22,0,0,0,0,0,0,0,0,0
Caso 3,3,1,2,22,0,0,0,0,0,0,0,0,0
Caso 3,4,4,3,1,0,0,0,0,0,0,0,0,0
Caso 3,5,4,3,22,0,0,0,0,0,0,0,0,0
Caso 3,6,1,4,1,0,0,0,0,0,0,0,0,0
Caso 3,7,4,3,1,0,0,0,0,0,0,0,0,0
Caso 3,8,2,4,1,0,0,0,0,0,0,0,0,0
Caso 3,9,4,4,22,0,0,0,0,0,0,0,0,0
Caso 3,10,4,4,1,0,0,0,0,0,0,0,0,0
Caso 4,1,4,3,22,0,0,0,0,0,0,0,0,0
Caso 4,2,4,3,4,0,0,0,0,0,0,0,0,0
Caso 4,3,4,3,3,0,0,0,0,0,0,0,0,0
Caso 4,4,4,3,1,0,0,0,0,0,0,0,0,0
Caso 4,5,4,3,3,0,0,0,0,0,0,0,0,0
Caso 4,6,4,3,12,0,0,0,0,0,0,0,0,0
Caso 4,7,1,2,15,0,0,0,0,0,0,0,0,0
Caso 4,8,1,2,23,0,0,0,0,0,0,0,0,0
Caso 4,9,4,3,3,0,0,0,0,0,0,0,0,0
Caso 4,10,4,3,3,0,0,0,0,0,0,0,0,0
Caso 5,1,4,3,15,0,0,0,0,0,0,0,0,0
Caso 5,2,4,2,12,0,0,0,0,0,0,0,0,0
Caso 5,3,2,2,26,0,0,0,0,0,0,0,0,0
Caso 5,4,1,3,12,0,0,0,0,0,0,0,0,0
Caso 5,5,2,2,1,0,0,0,0,0,0,0,0,0
Caso 5,6,2,3,12,0,0,0,0,0,0,0,0,0
Caso 5,7,2,3,1,0,0,0,0,0,0,0,0,0
Caso 5,8,1,4,22,0,0,0,2,2,1,0,0,0
Caso 5,9,2,4,22,0,0,0,1,2,1,0,0,0
Caso 5,10,4,4,22,0,0,0,3,2,1,0,0,0
Caso 6,1,4,3,3,4,2,1,0,0,0,0,0,0
Caso 6,2,1,3,4,4,1,27,0,0,0,0,0,0
Caso 6,3,3,3,28,4,2,1,0,0,0,1,2,1
Caso 6,4,4,2,28,0,0,0,0,0,0,4,2,1
Caso 6,5,4,2,1,0,0,0,0,0,0,1,2,22
Caso 6,6,2,2,1,0,0,0,0,0,0,2,2,1
Caso 6,7,1,2,27,0,0,0,0,0,0,0,0,0
Caso 6,8,1,2,4,0,0,0,0,0,0,0,0,0
Caso 6,9,4,3,1,0,0,0,0,0,0,0,0,0
Caso 6,10,4,3,1,0,0,0,0,0,0,0,0,0
Caso 7,1,0,0,0,0,0,0,0,0,0,1,1,1
Caso 7,2,0,0,0,0,0,0,0,0,0,2,2,1
Caso 7,3,3,3,22,0,0,0,0,0,0,2,2,1
Caso 7,4,3,4,1,0,0,0,0,0,0,0,0,0
Caso 7,5,3,4,22,0,0,0,0,0,0,0,0,0
Caso 7,6,1,4,1,0,0,0,0,0,0,0,0,0
Caso 7,7,1,3,22,0,0,0,0,0,0,0,0,0
Caso 7,8,4,2,27,0,0,0,0,0,0,0,0,0
Caso 7,9,3,4,1,0,0,0,0,0,0,0,0,0
Caso 7,10,3,4,1,0,0,0,0,0,0,0,0,0
Caso 8,1,3,3,1,0,0,0,0,0,0,1,2,22
Caso 8,2,0,0,0,0,0,0,0,0,0,4,2,1
Caso 8,3,0,0,0,0,0,0,0,0,0,1,2,1
Caso 8,4,0,0,0,0,0,0,0,0,0,2,2,1
Caso 8,5,4,2,1,0,0,0,0,0,0,1,2,22
Caso 8,6,3,2,1,0,0,0,0,0,0,1,1,1
Caso 8,7,3,4,1,0,0,0,0,0,0,4,1,28
Caso 8,8,4,3,28,0,0,0,0,0,0,1,1,1
Caso 8,9,1,4,11,0,0,0,0,0,0,0,0,0
Caso 8,10,2,3,28,0,0,0,0,0,0,0,0,0